lineage	month	lineage_counts_covspectrum	lineage_counts_genbank	total_counts_covspectrum	total_counts_genbank	monthly_frequency_covspectrum	monthly_frequency_genbank
B.1.591	2020-10	19	24	43505	35657	0.000437	0.000673
B.1.1.305	2020-10	27	23	43505	35657	0.000621	0.000645
B.1.1.416	2020-10	26	23	43505	35657	0.000598	0.000645
B.1.1.50	2020-10	23	23	43505	35657	0.000529	0.000645
B.1.36.35	2020-10	25	23	43505	35657	0.000575	0.000645
B.1.1.304	2020-10	28	20	43505	35657	0.000644	0.000561
B.1.612	2020-10	28	0	43505	35657	0.000644	0
B.1.1.192	2020-10	27	19	43505	35657	0.000621	0.000533
B.1.36.16	2020-10	27	22	43505	35657	0.000621	0.000617
AK.1	2020-10	23	22	43505	35657	0.000529	0.000617
B.1.1.453	2020-10	23	22	43505	35657	0.000529	0.000617
B.1.1.315	2020-10	26	18	43505	35657	0.000598	0.000505
B.1.453	2020-10	26	12	43505	35657	0.000598	0.000337
B.1.1.165	2020-10	22	21	43505	35657	0.000506	0.000589
B.1.1.329	2020-10	21	21	43505	35657	0.000483	0.000589
B.1.436	2020-10	22	21	43505	35657	0.000506	0.000589
B.1.1.214	2020-10	20	20	43505	35657	0.00046	0.000561
B.1.160.32	2020-10	24	17	43505	35657	0.000552	0.000477
B.1.177.33	2020-10	24	18	43505	35657	0.000552	0.000505
B.1.1.209	2020-10	19	19	43505	35657	0.000437	0.000533
B.1.1.236	2020-10	22	19	43505	35657	0.000506	0.000533
B.1.1.429	2020-10	21	19	43505	35657	0.000483	0.000533
B.1.160.16	2020-10	13	19	43505	35657	0.000299	0.000533
B.1.1.306	2020-10	23	18	43505	35657	0.000529	0.000505
B.1.221.2	2020-10	22	0	43505	35657	0.000506	0
B.1.401	2020-10	22	15	43505	35657	0.000506	0.000421
B.1.281	2020-10	19	18	43505	35657	0.000437	0.000505
B.1.1.204	2020-10	21	16	43505	35657	0.000483	0.000449
B.1.1.228	2020-10	21	11	43505	35657	0.000483	0.000308
B.1.1.337	2020-10	20	17	43505	35657	0.00046	0.000477
B.1.577	2020-10	20	15	43505	35657	0.00046	0.000421
B.1.1.130	2020-10	18	16	43505	35657	0.000414	0.000449
B.1.1.153	2020-10	17	16	43505	35657	0.000391	0.000449
B.1.1.251	2020-10	18	16	43505	35657	0.000414	0.000449
B.1.1.507	2020-10	16	16	43505	35657	0.000368	0.000449
B.1.1.225	2020-10	19	10	43505	35657	0.000437	0.00028
B.1.443	2020-10	19	12	43505	35657	0.000437	0.000337
B.1.599	2020-10	19	8	43505	35657	0.000437	0.000224
B.1.1.12	2020-10	15	15	43505	35657	0.000345	0.000421
B	2020-10	18	11	43505	35657	0.000414	0.000308
B.1.1.310	2020-10	18	5	43505	35657	0.000414	0.00014
B.1.340	2020-10	18	11	43505	35657	0.000414	0.000308
B.1.36.2	2020-10	18	2	43505	35657	0.000414	5.61e-05
B.1.1.294	2020-10	17	14	43505	35657	0.000391	0.000393
B.1.1.7	2020-10	16	14	43505	35657	0.000368	0.000393
B.1.346	2020-10	16	14	43505	35657	0.000368	0.000393
B.1.438	2020-10	15	14	43505	35657	0.000345	0.000393
B.1.448	2020-10	16	14	43505	35657	0.000368	0.000393
Z.1	2020-10	15	14	43505	35657	0.000345	0.000393
B.1.177.48	2020-10	17	13	43505	35657	0.000391	0.000365
B.1.404	2020-10	16	8	43505	35657	0.000368	0.000224
B.1.429	2020-10	16	8	43505	35657	0.000368	0.000224
B.1.568	2020-10	16	7	43505	35657	0.000368	0.000196
B.1.602	2020-10	16	11	43505	35657	0.000368	0.000308
B.1.1.234	2020-10	15	13	43505	35657	0.000345	0.000365
B.1.1.25	2020-10	13	13	43505	35657	0.000299	0.000365
B.1.3	2020-10	13	13	43505	35657	0.000299	0.000365
B.1.433	2020-10	13	13	43505	35657	0.000299	0.000365
B.1.517	2020-10	13	13	43505	35657	0.000299	0.000365
B.1.1.362	2020-10	15	12	43505	35657	0.000345	0.000337
B.1.351	2020-10	15	1	43505	35657	0.000345	2.8e-05
B.1.377	2020-10	15	11	43505	35657	0.000345	0.000308
B.1.1.144	2020-10	4	12	43505	35657	9.19e-05	0.000337
B.1.1.231	2020-10	13	12	43505	35657	0.000299	0.000337
B.1.1.243	2020-10	10	12	43505	35657	0.00023	0.000337
B.1.1.317	2020-10	11	12	43505	35657	0.000253	0.000337
B.1.1.341	2020-10	13	12	43505	35657	0.000299	0.000337
B.1.1.382	2020-10	14	12	43505	35657	0.000322	0.000337
B.1.1.521	2020-10	11	12	43505	35657	0.000253	0.000337
AH.2	2020-10	14	10	43505	35657	0.000322	0.00028
B.1.1.186	2020-10	14	10	43505	35657	0.000322	0.00028
B.1.1.219	2020-10	14	11	43505	35657	0.000322	0.000308
B.1.381	2020-10	14	10	43505	35657	0.000322	0.00028
B.1.576	2020-10	14	4	43505	35657	0.000322	0.000112
B.1.160.15	2020-10	4	11	43505	35657	9.19e-05	0.000308
B.1.240.2	2020-10	11	11	43505	35657	0.000253	0.000308
B.1.36.12	2020-10	13	11	43505	35657	0.000299	0.000308
B.1.558	2020-10	11	11	43505	35657	0.000253	0.000308
B.1.1.174	2020-10	13	6	43505	35657	0.000299	0.000168
B.1.1.216	2020-10	13	10	43505	35657	0.000299	0.00028
B.1.382	2020-10	13	4	43505	35657	0.000299	0.000112
B.1.397	2020-10	13	10	43505	35657	0.000299	0.00028
B.1.425	2020-10	13	10	43505	35657	0.000299	0.00028
B.1.1.128	2020-10	9	10	43505	35657	0.000207	0.00028
B.1.362.1	2020-10	11	10	43505	35657	0.000253	0.00028
B.1.1.135	2020-10	12	9	43505	35657	0.000276	0.000252
B.1.36.20	2020-10	12	7	43505	35657	0.000276	0.000196
G.1	2020-10	12	8	43505	35657	0.000276	0.000224
B.1.1.403	2020-10	11	7	43505	35657	0.000253	0.000196
B.1.569	2020-10	11	7	43505	35657	0.000253	0.000196
AE.2	2020-10	9	9	43505	35657	0.000207	0.000252
AE.6	2020-10	9	9	43505	35657	0.000207	0.000252
AE.7	2020-10	9	9	43505	35657	0.000207	0.000252
AS.2	2020-10	10	9	43505	35657	0.00023	0.000252
B.1.580	2020-10	10	9	43505	35657	0.00023	0.000252
B.1.258.2	2020-10	10	3	43505	35657	0.00023	8.41e-05
B.1.315	2020-10	10	7	43505	35657	0.00023	0.000196
B.1.427	2020-10	10	7	43505	35657	0.00023	0.000196
AE.4	2020-10	8	8	43505	35657	0.000184	0.000224
B.1.1.57	2020-10	4	8	43505	35657	9.19e-05	0.000224
B.1.160.14	2020-10	9	8	43505	35657	0.000207	0.000224
B.1.294	2020-10	8	8	43505	35657	0.000184	0.000224
B.1.36.7	2020-10	9	8	43505	35657	0.000207	0.000224
B.1.405	2020-10	9	8	43505	35657	0.000207	0.000224
B.1.550	2020-10	8	8	43505	35657	0.000184	0.000224
C.1	2020-10	8	8	43505	35657	0.000184	0.000224
B.1.1.217	2020-10	9	6	43505	35657	0.000207	0.000168
A	2020-10	5	7	43505	35657	0.000115	0.000196
B.1.1.159	2020-10	7	7	43505	35657	0.000161	0.000196
B.1.1.218	2020-10	7	7	43505	35657	0.000161	0.000196
B.1.1.266	2020-10	8	7	43505	35657	0.000184	0.000196
B.1.1.297	2020-10	7	7	43505	35657	0.000161	0.000196
B.1.177.52	2020-10	7	7	43505	35657	0.000161	0.000196
B.1.298	2020-10	7	7	43505	35657	0.000161	0.000196
B.1.441	2020-10	8	7	43505	35657	0.000184	0.000196
B.1.567	2020-10	8	7	43505	35657	0.000184	0.000196
AY.43	2020-10	8	4	43505	35657	0.000184	0.000112
B.1.1.459	2020-10	8	6	43505	35657	0.000184	0.000168
B.1.318	2020-10	8	6	43505	35657	0.000184	0.000168
B.1.36.38	2020-10	8	6	43505	35657	0.000184	0.000168
B.1.416	2020-10	8	5	43505	35657	0.000184	0.00014
B.1.597	2020-10	8	2	43505	35657	0.000184	5.61e-05
V.1	2020-10	8	6	43505	35657	0.000184	0.000168
B.1.1.116	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.1.15	2020-10	5	6	43505	35657	0.000115	0.000168
B.1.1.380	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.160.26	2020-10	3	6	43505	35657	6.9e-05	0.000168
B.1.22	2020-10	7	6	43505	35657	0.000161	0.000168
B.1.293	2020-10	7	6	43505	35657	0.000161	0.000168
B.1.306	2020-10	7	6	43505	35657	0.000161	0.000168
B.1.36.1	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.36.29	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.500	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.541	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.556	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.595.4	2020-10	6	6	43505	35657	0.000138	0.000168
C.23	2020-10	5	6	43505	35657	0.000115	0.000168
N.7	2020-10	6	6	43505	35657	0.000138	0.000168
B.1.1.322	2020-10	7	2	43505	35657	0.000161	5.61e-05
B.1.1.351	2020-10	7	5	43505	35657	0.000161	0.00014
B.1.177.86	2020-10	7	3	43505	35657	0.000161	8.41e-05
B.1.206	2020-10	7	4	43505	35657	0.000161	0.000112
B.1.320	2020-10	7	5	43505	35657	0.000161	0.00014
B.1.36.23	2020-10	7	5	43505	35657	0.000161	0.00014
B.1.578	2020-10	7	4	43505	35657	0.000161	0.000112
B.1.149	2020-10	6	5	43505	35657	0.000138	0.00014
B.1.160.31	2020-10	0	5	43505	35657	0	0.00014
B.1.36.18	2020-10	6	5	43505	35657	0.000138	0.00014
B.1.36.31	2020-10	5	5	43505	35657	0.000115	0.00014
B.1.478	2020-10	5	5	43505	35657	0.000115	0.00014
B.1.527	2020-10	5	5	43505	35657	0.000115	0.00014
B.1.581	2020-10	5	5	43505	35657	0.000115	0.00014
C.36	2020-10	6	5	43505	35657	0.000138	0.00014
B.1.1.177	2020-10	6	3	43505	35657	0.000138	8.41e-05
B.1.1.205	2020-10	6	4	43505	35657	0.000138	0.000112
B.1.1.385	2020-10	6	4	43505	35657	0.000138	0.000112
B.1.218	2020-10	6	4	43505	35657	0.000138	0.000112
B.1.596	2020-10	6	4	43505	35657	0.000138	0.000112
D.3	2020-10	6	2	43505	35657	0.000138	5.61e-05
AK.2	2020-10	5	4	43505	35657	0.000115	0.000112
AY.125	2020-10	5	2	43505	35657	0.000115	5.61e-05
AY.4	2020-10	5	4	43505	35657	0.000115	0.000112
B.1.1.326	2020-10	5	4	43505	35657	0.000115	0.000112
B.1.1.344	2020-10	5	4	43505	35657	0.000115	0.000112
B.1.1.500	2020-10	5	3	43505	35657	0.000115	8.41e-05
B.1.332	2020-10	5	4	43505	35657	0.000115	0.000112
B.1.36.8	2020-10	5	3	43505	35657	0.000115	8.41e-05
B.1.595.1	2020-10	5	3	43505	35657	0.000115	8.41e-05
AY.122	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.1.203	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.1.227	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.1.242	2020-10	2	4	43505	35657	4.6e-05	0.000112
B.1.1.4	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.131	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.160.11	2020-10	1	4	43505	35657	2.3e-05	0.000112
B.1.177.51	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.543	2020-10	4	4	43505	35657	9.19e-05	0.000112
B.1.637	2020-10	4	4	43505	35657	9.19e-05	0.000112
C.5	2020-10	0	4	43505	35657	0	0.000112
N.3	2020-10	4	4	43505	35657	9.19e-05	0.000112
AY.100	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
AY.126	2020-10	4	2	43505	35657	9.19e-05	5.61e-05
AY.44	2020-10	4	1	43505	35657	9.19e-05	2.8e-05
B.1.1.193	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.1.272	2020-10	4	0	43505	35657	9.19e-05	0
B.1.1.302	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.1.441	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.177.50	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.177.77	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.375	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.408	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.1.499	2020-10	4	3	43505	35657	9.19e-05	8.41e-05
B.33	2020-10	4	1	43505	35657	9.19e-05	2.8e-05
C.18	2020-10	4	0	43505	35657	9.19e-05	0
AN.1	2020-10	1	3	43505	35657	2.3e-05	8.41e-05
B.1.1.282	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.1.355	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.1.72	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.160.22	2020-10	1	3	43505	35657	2.3e-05	8.41e-05
B.1.177.24	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.362	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.409	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.423	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.439	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.460	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.463	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
B.1.467	2020-10	0	3	43505	35657	0	8.41e-05
B.1.560	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
K.2	2020-10	3	3	43505	35657	6.9e-05	8.41e-05
AY.103	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
AY.25	2020-10	3	0	43505	35657	6.9e-05	0
B.1.1.133	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.1.180	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.1.285	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.1.371	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.1.518	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.1.63	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.1.74	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.160.10	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.162	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.188	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.348	2020-10	3	0	43505	35657	6.9e-05	0
B.1.468	2020-10	3	0	43505	35657	6.9e-05	0
B.1.497	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.521	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
B.1.530	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
B.1.617.2	2020-10	3	0	43505	35657	6.9e-05	0
B.1.9.4	2020-10	3	2	43505	35657	6.9e-05	5.61e-05
W.1	2020-10	3	1	43505	35657	6.9e-05	2.8e-05
A.23	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
AA.1	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
AY.9.2	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.274	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.320	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.34	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.347	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.368	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.46	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.482	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.519	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.1.58	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.111	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.177.43	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.177.83	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.189	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.210	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.223	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.225	2020-10	0	2	43505	35657	0	5.61e-05
B.1.314	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.319	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.36.27	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.385	2020-10	1	2	43505	35657	2.3e-05	5.61e-05
B.1.393	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.398	2020-10	1	2	43505	35657	2.3e-05	5.61e-05
B.1.402	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.452	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.474	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.503	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.544	2020-10	1	2	43505	35657	2.3e-05	5.61e-05
B.1.549	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.596.1	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.1.9.5	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
B.29	2020-10	0	2	43505	35657	0	5.61e-05
B.3	2020-10	1	2	43505	35657	2.3e-05	5.61e-05
BA.2.12.1	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
P.2	2020-10	2	2	43505	35657	4.6e-05	5.61e-05
AY.129	2020-10	2	0	43505	35657	4.6e-05	0
AY.42	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
AY.46.6	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.1.244	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.1.352	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.1.405	2020-10	2	0	43505	35657	4.6e-05	0
B.1.1.461	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.177.53	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.177.60	2020-10	2	0	43505	35657	4.6e-05	0
B.1.177.63	2020-10	2	0	43505	35657	4.6e-05	0
B.1.229	2020-10	2	0	43505	35657	4.6e-05	0
B.1.39	2020-10	2	0	43505	35657	4.6e-05	0
B.1.395	2020-10	2	0	43505	35657	4.6e-05	0
B.1.438.4	2020-10	2	0	43505	35657	4.6e-05	0
B.1.524	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
B.1.595.3	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
P.1	2020-10	2	1	43505	35657	4.6e-05	2.8e-05
A.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
A.24	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AG.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.112	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.121	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.25.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.34.1.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.43.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.98	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AY.98.1	2020-10	0	1	43505	35657	0	2.8e-05
B.1.1.101	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.111	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.115	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.132	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.158	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.239	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.273	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.288	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.332	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.339	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.369	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.404	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.413	2020-10	0	1	43505	35657	0	2.8e-05
B.1.1.420	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.437	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.1.467	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.108	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.115	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.160.20	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.177.32	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.177.59	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.177.75	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.199	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.213	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.258.9	2020-10	0	1	43505	35657	0	2.8e-05
B.1.264.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.323	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.350	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.36.22	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.413	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.421	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.424	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.428.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.428.2	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.438.1	2020-10	0	1	43505	35657	0	2.8e-05
B.1.451	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.479	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.493	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.511	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.518	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.548	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.571	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.572	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.593	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.1.606	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.23	2020-10	0	1	43505	35657	0	2.8e-05
B.28	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
B.4	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
BA.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
BF.7.1	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
C.16	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
C.17	2020-10	0	1	43505	35657	0	2.8e-05
C.28	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
C.31	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
C.8	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
N.4	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
N.9	2020-10	1	1	43505	35657	2.3e-05	2.8e-05
AA.6	2020-10	1	0	43505	35657	2.3e-05	0
AY.3	2020-10	1	0	43505	35657	2.3e-05	0
AY.43.8	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.122	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.129	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.139	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.263	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.370	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.392	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.397	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.418	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.529	2020-10	1	0	43505	35657	2.3e-05	0
B.1.1.89	2020-10	1	0	43505	35657	2.3e-05	0
B.1.119	2020-10	1	0	43505	35657	2.3e-05	0
B.1.12	2020-10	1	0	43505	35657	2.3e-05	0
B.1.258.14	2020-10	1	0	43505	35657	2.3e-05	0
B.1.263	2020-10	1	0	43505	35657	2.3e-05	0
B.1.406	2020-10	1	0	43505	35657	2.3e-05	0
B.1.469	2020-10	1	0	43505	35657	2.3e-05	0
B.1.480	2020-10	1	0	43505	35657	2.3e-05	0
B.1.526	2020-10	1	0	43505	35657	2.3e-05	0
B.1.617	2020-10	1	0	43505	35657	2.3e-05	0
BA.2	2020-10	1	0	43505	35657	2.3e-05	0
C.12	2020-10	1	0	43505	35657	2.3e-05	0
C.32	2020-10	1	0	43505	35657	2.3e-05	0
B.1.177	2020-11	15058	13203	66976	55791	0.225	0.237
B.1.2	2020-11	7423	6437	66976	55791	0.111	0.115
B.1.160	2020-11	2727	1930	66976	55791	0.0407	0.0346
B.1	2020-11	2149	1399	66976	55791	0.0321	0.0251
B.1.177.4	2020-11	1810	1631	66976	55791	0.027	0.0292
B.1.177.7	2020-11	1480	1255	66976	55791	0.0221	0.0225
AD.2	2020-11	1359	1248	66976	55791	0.0203	0.0224
B.1.1.37	2020-11	1263	1106	66976	55791	0.0189	0.0198
B.1.177.57	2020-11	1222	1081	66976	55791	0.0182	0.0194
B.1.1.7	2020-11	1149	1055	66976	55791	0.0172	0.0189
B.1.258	2020-11	1031	636	66976	55791	0.0154	0.0114
B.1.1.311	2020-11	920	825	66976	55791	0.0137	0.0148
B.1.177.45	2020-11	899	762	66976	55791	0.0134	0.0137
B.1.243	2020-11	838	699	66976	55791	0.0125	0.0125
B.1.1	2020-11	762	624	66976	55791	0.0114	0.0112
B.1.36.17	2020-11	684	563	66976	55791	0.0102	0.0101
B.1.1.307	2020-11	617	554	66976	55791	0.00921	0.00993
B.1.177.87	2020-11	560	524	66976	55791	0.00836	0.00939
B.1.240	2020-11	564	470	66976	55791	0.00842	0.00842
B.1.234	2020-11	510	458	66976	55791	0.00761	0.00821
B.1.177.54	2020-11	514	444	66976	55791	0.00767	0.00796
B.1.1.222	2020-11	524	378	66976	55791	0.00782	0.00678
B.1.177.17	2020-11	469	424	66976	55791	0.007	0.0076
B.1.177.15	2020-11	494	417	66976	55791	0.00738	0.00747
B.1.177.16	2020-11	458	408	66976	55791	0.00684	0.00731
B.1.369	2020-11	434	404	66976	55791	0.00648	0.00724
B.1.177.56	2020-11	447	383	66976	55791	0.00667	0.00686
B.1.177.8	2020-11	400	314	66976	55791	0.00597	0.00563
B.1.177.20	2020-11	325	300	66976	55791	0.00485	0.00538
B.1.177.44	2020-11	350	252	66976	55791	0.00523	0.00452
B.1.1.279	2020-11	338	220	66976	55791	0.00505	0.00394
B.1.221	2020-11	334	235	66976	55791	0.00499	0.00421
B.1.400	2020-11	330	271	66976	55791	0.00493	0.00486
B.1.160.7	2020-11	263	271	66976	55791	0.00393	0.00486
B.1.177.6	2020-11	300	270	66976	55791	0.00448	0.00484
B.1.1.39	2020-11	312	265	66976	55791	0.00466	0.00475
B.1.177.18	2020-11	302	265	66976	55791	0.00451	0.00475
B.1.565	2020-11	308	248	66976	55791	0.0046	0.00445
B.1.177.69	2020-11	287	254	66976	55791	0.00429	0.00455
B.1.177.9	2020-11	278	245	66976	55791	0.00415	0.00439
W.4	2020-11	275	241	66976	55791	0.00411	0.00432
B.1.177.19	2020-11	235	239	66976	55791	0.00351	0.00428
AP.1	2020-11	286	227	66976	55791	0.00427	0.00407
B.1.389	2020-11	235	225	66976	55791	0.00351	0.00403
